addr	name	kind	target
419a80	FUN_00419a80	gamemisc	game_misc
419ac0	FUN_00419ac0	gamemisc	game_misc
419ba0	FUN_00419ba0	gamemisc	game_misc
419c90	FUN_00419c90	gamemisc	game_misc
419ef0	FUN_00419ef0	lib	audit
419f80	FUN_00419f80	lib	crtstl
419f90	FUN_00419f90	lib	audit
419fd0	FUN_00419fd0	lib	other
41a000	FUN_0041a000	lib	other
41a030	FUN_0041a030	game	Speech
41a060	FUN_0041a060	lib	audit
41a090	FUN_0041a090	game	Speech
41a120	FUN_0041a120	gamemisc	game_misc
41a180	FUN_0041a180	game	Speech
41a240	FUN_0041a240	lib	audit
41a510	FUN_0041a510	gamemisc	game_misc
41a5d0	FUN_0041a5d0	lib	audit
41a657	Catch_All@0041a657	lib	crtstl
41a670	FUN_0041a670	game	QuestText
41a6f0	FUN_0041a6f0	lib	audit
41a78f	Catch_All@0041a78f	lib	crtstl
41a7b0	FUN_0041a7b0	lib	audit
41a9b0	FUN_0041a9b0	gamemisc	game_misc
41aaef	Catch_All@0041aaef	lib	crtstl
41ab00	FUN_0041ab00	gamemisc	game_misc
41ab90	ctor_1	game	QuestText
41abc0	ctor_0	game	QuestTextNode
41ac90	ctor_3	game	QuestText
41ad10	ctor_1	game	QuestTextNode
41ae40	FUN_0041ae40	lib	audit
41ae70	vfunc_0	game	QuestText
41af00	vfunc_0	game	QuestTextNode
41af30	FUN_0041af30	lib	audit
41af70	FUN_0041af70	gamemisc	game_misc
41b000	FUN_0041b000	gamemisc	game_misc
41b050	FUN_0041b050	game	Speech
41b900	FUN_0041b900	game	RandomInteractionBehavior
41b930	FUN_0041b930	gamemisc	game_misc
41b970	FUN_0041b970	game	RandomInteractionBehavior
41b9e0	FUN_0041b9e0	game	RandomInteractionBehavior
41ba60	ctor_0	game	RandomInteractionBehavior
41ba70	FUN_0041ba70	lib	crtstl
41ba90	FUN_0041ba90	gamemisc	game_misc
41bb5f	Catch_All@0041bb5f	lib	crtstl
41bb80	FUN_0041bb80	gamemisc	game_misc
41bc20	vfunc_0	game	RandomInteractionBehavior
41c9e0	FUN_0041c9e0	lib	crtstl
41cac0	vfunc_1	game	RandomInteractionBehavior
41cae0	FUN_0041cae0	lib	crtstl
41caf0	FUN_0041caf0	lib	crtstl
41cb40	FUN_0041cb40	lib	crtstl
41cb60	operator=<std::pair<unsigned___int64,unsigned___int64>,0>	lib	crtstl
41cb90	ctor_0	game	RandomWalkBehavior
41cba0	FUN_0041cba0	game	Speech
41cbb0	vfunc_0	game	RandomWalkBehavior
41ce70	vfunc_1	game	RandomWalkBehavior
41ce90	FUN_0041ce90	lib	crtstl
41cef0	ctor_0	game	SequentialBehavior
41cfc0	ctor_1	game	SequentialBehavior
41cff0	ctor_2	game	SequentialBehavior
41d050	vfunc_2	game	SequentialBehavior
41d080	vfunc_0	game	SequentialBehavior
41d0f0	vfunc_1	game	SequentialBehavior
41d160	FUN_0041d160	lib	crtstl
41d190	FUN_0041d190	lib	crtstl
41d240	FUN_0041d240	lib	crtstl
41d270	FUN_0041d270	lib	crtstl
41d340	FUN_0041d340	lib	crtstl
41d390	FUN_0041d390	lib	crtstl
41d410	FUN_0041d410	lib	crtstl
41d460	FUN_0041d460	lib	crtstl
41d4c6	Catch_All@0041d4c6	lib	crtstl
41d500	FUN_0041d500	lib	crtstl
41d550	FUN_0041d550	lib	crtstl
41d5d0	FUN_0041d5d0	lib	crtstl
41d600	FUN_0041d600	lib	crtstl
41d680	FUN_0041d680	lib	crtstl
41d6c0	FUN_0041d6c0	lib	crtstl
41d720	FUN_0041d720	lib	crtstl
41d7bf	Catch_All@0041d7bf	lib	crtstl
41d7e0	FUN_0041d7e0	lib	crtstl
41d800	FUN_0041d800	game	World
41d820	FUN_0041d820	lib	crtstl
41d8d0	FUN_0041d8d0	lib	crtstl
41d950	FUN_0041d950	lib	crtstl
41dac0	Catch_All@0041dac0	lib	crtstl
41dae0	FUN_0041dae0	lib	crtstl
41dc43	Catch_All@0041dc43	lib	crtstl
41dc60	FUN_0041dc60	lib	crtstl
41de13	Catch_All@0041de13	lib	crtstl
41de30	FUN_0041de30	lib	crtstl
41df20	FUN_0041df20	lib	crtstl
41df70	FUN_0041df70	lib	crtstl
41e2e0	FUN_0041e2e0	lib	crtstl
41e300	FUN_0041e300	lib	crtstl
41e320	FUN_0041e320	lib	crtstl
41e390	FUN_0041e390	lib	crtstl
41e400	FUN_0041e400	lib	crtstl
41e450	FUN_0041e450	lib	crtstl
41e520	Catch_All@0041e520	lib	crtstl
41e540	FUN_0041e540	lib	crtstl
41e61e	Catch_All@0041e61e	lib	crtstl
41e640	FUN_0041e640	lib	crtstl
41e71c	Catch_All@0041e71c	lib	crtstl
41e740	FUN_0041e740	lib	crtstl
41e820	Catch_All@0041e820	lib	crtstl
41e840	FUN_0041e840	lib	crtstl
41e8f0	FUN_0041e8f0	lib	crtstl
41e960	FUN_0041e960	lib	crtstl
41ea10	FUN_0041ea10	lib	crtstl
41eab0	FUN_0041eab0	lib	crtstl
41eb20	FUN_0041eb20	lib	crtstl
41ebb0	FUN_0041ebb0	lib	crtstl
41ebc0	FUN_0041ebc0	game	World
41ed50	FUN_0041ed50	game	World
41ee20	FUN_0041ee20	lib	crtstl
41f4d0	FUN_0041f4d0	lib	crtstl
41f5b0	FUN_0041f5b0	lib	crtstl
41f640	FUN_0041f640	lib	crtstl
41f75d	Catch_All@0041f75d	lib	crtstl
41f770	FUN_0041f770	lib	crtstl
41f860	Catch_All@0041f860	lib	crtstl
41f880	FUN_0041f880	lib	crtstl
41f9e0	FUN_0041f9e0	lib	crtstl
41faa0	FUN_0041faa0	lib	crtstl
41fe60	FUN_0041fe60	lib	crtstl
41ff00	FUN_0041ff00	lib	crtstl
41fff0	FUN_0041fff0	lib	crtstl
420020	FUN_00420020	lib	crtstl
420040	FUN_00420040	lib	other
420080	FUN_00420080	lib	audit
4200d0	FUN_004200d0	lib	crtstl
420100	FUN_00420100	lib	crtstl
420160	FUN_00420160	lib	crtstl
4201e2	Catch_All@004201e2	lib	crtstl
420200	FUN_00420200	lib	crtstl
420299	Catch_All@00420299	lib	crtstl
4202b0	FUN_004202b0	lib	crtstl
4202e0	FUN_004202e0	lib	crtstl
420362	Catch_All@00420362	lib	crtstl
420380	FUN_00420380	lib	other
4203c0	FUN_004203c0	lib	audit
420400	FUN_00420400	lib	crtstl
420430	FUN_00420430	lib	crtstl
420470	FUN_00420470	lib	crtstl
4204a0	FUN_004204a0	lib	crtstl
4204d0	FUN_004204d0	lib	crtstl
42052c	Catch_All@0042052c	lib	crtstl
420540	FUN_00420540	lib	other
4205df	Catch_All@004205df	lib	crtstl
420600	FUN_00420600	lib	crtstl
420810	FUN_00420810	lib	crtstl
420a0f	Catch_All@00420a0f	lib	crtstl
420a60	FUN_00420a60	lib	crtstl
420b74	Catch_All@00420b74	lib	crtstl
420bb0	FUN_00420bb0	lib	crtstl
420c39	Catch_All@00420c39	lib	crtstl
